,SUBS_ID,DATE_CALC,TARIFF_ID,CHARGE,SUPPORT_4G,SUPPORT_3G,LTE_TRAFF_FLAG,SMS_IN_CNT,SMS_OUT_CNT,CALLS_IN_CNT,CALLS_OUT_CNT,LIFE_TIME,DURATION_IN_MIN,DURATION_OUT_MIN,DATA_TRAFFIC_MB,SESSIONS_CNT,RECHARGE,RECHARGE_CNT,Выборка,tariff_changed
0,1245,2019-07-01,588.0,206.1,0,0,0.0,119,11,400,193,5213.0,448,237.15,16.79,838,250.0,2,1,0
1,1245,2019-08-01,588.0,378.9,0,0,0.0,125,13,332,215,5244.0,441,374.88,12.22,731,650.0,3,1,0
2,1245,2019-09-01,588.0,328.9,0,0,0.0,75,15,320,221,5274.0,444,300.65,12.43,768,0.0,0,1,0
3,1261,2019-07-01,524.0,318.6,0,1,0.0,210,39,109,60,5213.0,431,212.5,1626.61,1608,340.0,4,1,0
4,1261,2019-08-01,524.0,262.3,0,1,0.0,309,24,72,122,5244.0,225,237.78,3591.44,1601,150.0,1,1,0
5,1261,2019-09-01,524.0,350.6,0,1,0.0,340,25,63,198,5274.0,76,299.5,2160.64,1752,470.0,3,1,0
6,1325,2019-07-01,130.0,142.19,0,1,0.0,250,0,137,156,5213.0,276,306.08,522.41,2098,120.0,2,1,0
7,1325,2019-08-01,130.0,112.39,0,1,0.0,275,3,169,111,5244.0,413,286.37,461.05,8192,130.0,2,1,0
8,1325,2019-09-01,130.0,149.59,0,1,0.0,318,1,156,149,5274.0,325,320.98,332.79,2468,4110.0,2,1,0
9,1334,2019-07-01,560.0,300.0,1,1,1.0,20,1,18,22,5213.0,28,56.97,5418.07,1796,300.0,1,1,0
10,1334,2019-08-01,560.0,300.0,1,1,1.0,15,0,10,15,5244.0,8,51.77,6782.87,1487,350.0,2,1,0
11,1334,2019-09-01,560.0,300.0,1,1,1.0,15,0,8,24,5274.0,6,65.35,7846.94,1539,300.0,1,1,0
12,1364,2019-07-01,300.0,129.6,0,0,0.0,70,4,175,52,5213.0,536,147.45,0.0,0,0.0,0,1,0
13,1364,2019-08-01,300.0,225.05,0,0,0.0,49,0,184,66,5244.0,522,89.78,0.0,0,100.0,1,1,0
14,1364,2019-09-01,300.0,185.36,0,0,0.0,62,1,220,78,5274.0,661,161.33,0.0,2,300.0,3,1,0
15,1414,2019-07-01,300.0,0.0,1,1,0.0,5,0,10,0,5213.0,32,0.0,0.0,0,0.0,0,1,0
16,1414,2019-08-01,300.0,0.0,1,1,0.0,13,0,18,0,5244.0,17,0.0,0.0,0,0.0,0,1,0
17,1414,2019-09-01,300.0,66.6,1,1,0.0,15,0,62,34,5274.0,50,48.15,0.0,0,100.0,2,1,0
18,1422,2019-07-01,300.0,12.0,0,0,0.0,10,0,31,4,5213.0,177,25.57,0.0,0,0.0,0,1,0
19,1422,2019-08-01,300.0,23.4,0,0,0.0,17,0,26,6,5244.0,208,63.48,0.0,0,0.0,0,1,0
20,1422,2019-09-01,300.0,19.8,0,0,0.0,5,0,24,7,5274.0,211,29.17,0.0,0,100.0,1,1,0
21,1439,2019-07-01,135.0,314.0,0,1,0.0,94,10,92,112,5213.0,567,567.28,109.41,167,300.0,1,1,0
22,1439,2019-08-01,135.0,357.5,0,1,0.0,65,4,61,99,5244.0,480,738.3,103.32,160,350.0,1,1,0
23,1439,2019-09-01,135.0,350.0,0,1,0.0,61,11,101,141,5274.0,599,763.17,191.94,281,350.0,1,1,0
24,1504,2019-07-01,300.0,158.85,1,1,0.0,79,2,230,78,5213.0,252,80.48,0.0,0,0.0,0,1,0
25,1504,2019-08-01,300.0,103.9,1,1,0.0,61,1,148,45,5244.0,150,61.87,0.0,0,0.0,0,1,0
26,1504,2019-09-01,300.0,152.0,1,1,0.0,64,7,137,65,5274.0,193,80.63,0.0,0,300.0,1,1,0
30,1651,2019-07-01,130.0,203.18,1,1,1.0,103,12,96,72,5213.0,313,313.42,18237.81,5645,24.0,1,1,0
31,1651,2019-08-01,130.0,218.68,1,1,1.0,135,1,83,114,5244.0,221,505.08,14711.12,5472,350.0,2,1,0
32,1651,2019-09-01,130.0,143.59,1,1,1.0,124,14,95,110,5274.0,234,440.38,22219.0,5380,130.0,2,1,0
33,1722,2019-07-01,130.0,108.19,1,1,0.0,194,4,111,85,5213.0,510,518.7,0.0,0,170.0,2,1,0
34,1722,2019-08-01,130.0,135.59,1,1,0.0,182,17,138,116,5244.0,675,802.52,0.0,0,180.0,2,1,0
35,1722,2019-09-01,130.0,102.79,1,1,0.0,216,1,91,103,5274.0,447,928.73,0.0,0,120.0,1,1,0
36,1832,2019-07-01,548.0,360.0,1,1,1.0,120,6,88,105,5213.0,203,171.93,16214.93,1873,600.0,3,1,0
37,1832,2019-08-01,548.0,302.0,1,1,1.0,72,1,162,83,5244.0,604,169.22,5349.15,833,100.0,1,1,0
38,1832,2019-09-01,548.0,371.0,1,1,1.0,114,5,169,70,5274.0,528,218.02,1468.56,272,350.0,2,1,0
39,1841,2019-07-01,121.0,137.4,0,0,0.0,47,0,82,115,5213.0,113,90.58,0.0,0,0.0,0,1,0
40,1841,2019-08-01,121.0,208.9,0,0,0.0,48,0,90,116,5244.0,114,138.92,0.02,18,0.0,0,1,0
41,1841,2019-09-01,121.0,86.0,0,0,0.0,28,0,25,46,5274.0,43,62.48,0.0,0,0.0,0,1,0
42,1965,2019-07-01,300.0,969.65,1,1,0.0,83,2,174,298,5213.0,430,455.27,0.0,0,1000.0,5,1,0
43,1965,2019-08-01,300.0,1116.7,1,1,0.0,104,3,181,285,5244.0,325,478.03,0.0,0,1200.0,6,1,0
44,1965,2019-09-01,300.0,1053.9,1,1,0.0,87,5,145,261,5274.0,284,444.43,0.0,0,1000.0,5,1,0
45,2008,2019-07-01,300.0,68.29,1,1,1.0,6,0,0,0,5213.0,0,0.0,4.46,10,0.0,0,1,0
46,2008,2019-08-01,300.0,60.03,1,1,1.0,4,0,0,0,5244.0,0,0.0,4.54,5,50.0,1,1,0
47,2008,2019-09-01,300.0,0.0,1,1,0.0,0,0,0,0,5274.0,0,0.0,0.0,0,0.0,0,1,0
