iter	MultiClass
0	1.045737437
1	0.9972058322
2	0.9525449485
3	0.9112786213
4	0.8730447095
5	0.8374655061
6	0.8043150527
7	0.7733318849
8	0.7443351483
9	0.7170600597
10	0.691412218
11	0.6672797615
12	0.6445007794
13	0.6229325202
14	0.6025514453
15	0.5832197448
16	0.5649247377
17	0.5475629966
18	0.5310829951
19	0.5153963005
20	0.5004992662
21	0.4863032721
22	0.4727813879
23	0.4598456636
24	0.4475228908
25	0.4357211972
26	0.4244617374
27	0.4137279219
28	0.4034635419
29	0.393650189
30	0.3842356819
31	0.3752028458
32	0.3665505027
33	0.3582612471
34	0.3503204454
35	0.3427237678
36	0.3354207992
37	0.3283979869
38	0.3216958297
39	0.31523409
40	0.3090264323
41	0.3031069342
42	0.2974016225
43	0.2919192185
44	0.2866453384
45	0.2815562418
46	0.2766772367
47	0.2720215909
48	0.2675317476
49	0.2631992124
50	0.2590457556
51	0.2550659445
52	0.2511936778
53	0.247488365
54	0.2439083579
55	0.2404893816
56	0.23720061
57	0.2339890368
58	0.2309127643
59	0.2279390506
60	0.2251012577
61	0.2223384586
62	0.2196573638
63	0.2171427096
64	0.2146970145
65	0.2123692262
66	0.2100637334
67	0.2078763067
68	0.2057398802
69	0.2037047024
70	0.2017326107
71	0.1998209998
72	0.1979916608
73	0.1962407745
74	0.1945119924
75	0.1928492441
76	0.1912873399
77	0.1897834593
78	0.1883450526
79	0.1869774082
80	0.1855261541
81	0.1841976608
82	0.182902461
83	0.1816774128
84	0.1805288822
85	0.1793807875
86	0.1782690648
87	0.177182198
88	0.17613978
89	0.1750883776
90	0.1741242442
91	0.1730551251
92	0.1721313227
93	0.1712933085
94	0.1704410236
95	0.169591957
96	0.1687453778
97	0.1679168585
98	0.1672283594
99	0.1664890823

