iter	Passed	Remaining
0	94	9402
1	149	7311
2	201	6501
3	259	6217
4	307	5833
5	366	5743
6	416	5535
7	475	5473
8	530	5360
9	588	5292
10	643	5209
11	696	5105
12	752	5033
13	802	4927
14	851	4824
15	904	4746
16	960	4688
17	1007	4589
18	1071	4567
19	1135	4543
20	1194	4495
21	1234	4377
22	1291	4323
23	1353	4287
24	1409	4228
25	1471	4187
26	1531	4140
27	1585	4075
28	1636	4007
29	1683	3929
30	1734	3861
31	1796	3818
32	1843	3743
33	1902	3692
34	1952	3625
35	2002	3560
36	2061	3510
37	2141	3494
38	2208	3453
39	2268	3403
40	2330	3354
41	2387	3297
42	2455	3254
43	2511	3196
44	2570	3141
45	2628	3085
46	2683	3025
47	2742	2970
48	2796	2911
49	2853	2853
50	2912	2798
51	2974	2745
52	3030	2687
53	3081	2625
54	3144	2572
55	3203	2517
56	3255	2455
57	3316	2401
58	3370	2342
59	3436	2290
60	3486	2228
61	3545	2173
62	3612	2121
63	3685	2073
64	3745	2016
65	3797	1956
66	3868	1905
67	3931	1850
68	3985	1790
69	4060	1740
70	4143	1692
71	4204	1635
72	4265	1577
73	4333	1522
74	4390	1463
75	4453	1406
76	4510	1347
77	4569	1288
78	4624	1229
79	4674	1168
80	4732	1110
81	4787	1050
82	4851	993
83	4937	940
84	4996	881
85	5059	823
86	5124	765
87	5188	707
88	5249	648
89	5310	590
90	5369	531
91	5432	472
92	5499	413
93	5564	355
94	5640	296
95	5702	237
96	5761	178
97	5813	118
98	5847	59
99	5871	0
